pclass,sex,age,sibsp,parch,embarked,survived
first,male,48,zero,zero,S,NSUR
first,female,63,one,zero,S,NSUR
first,male,39,zero,zero,S,SUR
first,female,53,two,zero,S,NSUR
first,male,71,zero,zero,C,SUR
first,male,47,one,zero,C,SUR
first,female,18,one,zero,C,NSUR
first,female,24,zero,zero,C,NSUR
first,female,26,zero,zero,S,NSUR
first,male,80,zero,zero,S,NSUR
first,male,24,zero,one,C,SUR
first,female,50,zero,one,C,NSUR
first,female,32,zero,zero,C,NSUR
first,male,36,zero,zero,C,SUR
first,male,37,one,one,S,NSUR
first,female,47,one,one,S,NSUR
first,male,26,zero,zero,C,NSUR
first,female,42,zero,zero,C,NSUR
first,female,29,zero,zero,S,NSUR
first,male,25,zero,zero,C,SUR
first,male,25,one,zero,C,NSUR
first,female,19,one,zero,C,NSUR
first,female,35,zero,zero,S,NSUR
first,male,28,zero,zero,S,NSUR
first,male,45,zero,zero,S,SUR
first,male,40,zero,zero,C,NSUR
first,female,30,zero,zero,S,NSUR
first,female,58,zero,zero,S,NSUR
first,male,42,zero,zero,S,SUR
first,female,45,zero,zero,C,NSUR
first,female,22,zero,one,S,NSUR
first,male,41,zero,zero,S,SUR
first,male,48,zero,zero,C,SUR
first,female,44,zero,zero,C,NSUR
first,female,59,two,zero,S,NSUR
first,female,60,zero,zero,C,NSUR
first,female,41,zero,zero,C,NSUR
first,male,45,zero,zero,S,SUR
first,male,42,zero,zero,S,NSUR
first,female,53,zero,zero,C,NSUR
first,male,36,zero,one,C,NSUR
first,female,58,zero,one,C,NSUR
first,male,33,zero,zero,S,SUR
first,male,28,zero,zero,S,SUR
first,male,17,zero,zero,S,SUR
first,male,11,one,two,S,NSUR
first,female,14,one,two,S,NSUR
first,male,36,one,two,S,NSUR
first,female,36,one,two,S,NSUR
first,male,49,zero,zero,S,SUR
first,male,36,one,zero,S,SUR
first,female,76,one,zero,S,NSUR
first,male,46,one,zero,S,SUR
first,female,47,one,zero,S,NSUR
first,male,27,one,zero,S,NSUR
first,female,33,one,zero,S,NSUR
first,female,36,zero,zero,C,NSUR
first,female,30,zero,zero,S,NSUR
first,male,45,zero,zero,C,NSUR
first,male,27,one,zero,C,SUR
first,female,26,one,zero,C,NSUR
first,female,22,zero,zero,S,NSUR
first,male,47,zero,zero,S,SUR
first,female,39,one,one,C,NSUR
first,male,37,one,one,C,SUR
